date,temperature,pressure,humidity,water
4/6/2015 18:10:00,27.4,1003.9,23.0,1
4/6/2015 18:20:00,27.3,1003.9,23.0,1
4/6/2015 18:30:00,27.2,1003.9,22.0,1
4/6/2015 18:40:00,27.1,1004.3,21.0,1
4/6/2015 18:50:00,26.9,1004.6,22.0,1
4/6/2015 19:00:00,26.2,1005.0,25.0,1
4/6/2015 19:10:00,26.1,1005.0,25.0,1
4/6/2015 19:20:00,26.1,1005.3,24.0,1
4/6/2015 19:30:00,26.1,1005.6,24.0,1
4/6/2015 19:40:00,26.0,1005.6,23.0,1
4/6/2015 19:50:00,25.9,1006.0,23.0,1
4/6/2015 20:00:00,25.8,1006.0,24.0,1
4/6/2015 20:10:00,25.6,1006.0,23.0,1
4/6/2015 20:20:00,25.6,1005.6,24.0,1
4/6/2015 20:30:00,25.4,1005.3,24.0,1
4/6/2015 20:40:00,25.3,1005.0,24.0,1
4/6/2015 20:50:00,25.1,1004.6,25.0,1
4/6/2015 21:00:00,25.2,1004.6,24.0,0
4/6/2015 21:10:00,25.2,1005.3,24.0,0
4/6/2015 21:20:00,25.0,1006.0,26.0,0
4/6/2015 21:30:00,24.7,1006.0,25.0,0
4/6/2015 21:40:00,24.5,1006.3,26.0,0
4/6/2015 21:50:00,24.2,1006.3,28.0,0
4/6/2015 22:00:00,23.8,1006.7,32.0,0
4/6/2015 22:10:00,23.6,1007.0,33.0,0
4/6/2015 22:20:00,23.2,1006.7,35.0,0
4/6/2015 22:30:00,22.9,1007.0,37.0,0
4/6/2015 22:40:00,22.8,1007.3,37.0,0
4/6/2015 22:50:00,22.8,1007.3,37.0,0
4/6/2015 23:00:00,22.7,1007.7,36.0,0
4/6/2015 23:10:00,22.6,1007.7,36.0,0
4/6/2015 23:20:00,22.5,1007.7,36.0,0
4/6/2015 23:30:00,22.3,1007.7,37.0,0
4/6/2015 23:40:00,22.1,1007.7,37.0,0
4/6/2015 23:50:00,21.7,1008.0,38.0,0
4/7/2015 0:00:00,21.4,1008.0,40.0,0
4/7/2015 0:10:00,21.1,1008.0,41.0,0
4/7/2015 0:20:00,20.6,1008.0,44.0,0
4/7/2015 0:30:00,20.2,1008.0,48.0,0
4/7/2015 0:40:00,19.9,1008.0,49.0,0
4/7/2015 0:50:00,19.7,1008.0,51.0,0
4/7/2015 1:00:00,19.3,1008.0,52.0,0
4/7/2015 1:10:00,18.8,1008.0,54.0,0
4/7/2015 1:20:00,18.6,1008.0,55.0,0
4/7/2015 1:30:00,18.2,1008.0,57.0,0
4/7/2015 1:40:00,18.0,1008.0,58.0,0
4/7/2015 1:50:00,18.0,1008.0,59.0,0
4/7/2015 2:00:00,18.0,1007.7,59.0,0
4/7/2015 2:10:00,18.0,1007.7,60.0,0
4/7/2015 2:20:00,17.8,1007.7,60.0,0
4/7/2015 2:30:00,17.6,1007.7,62.0,0
4/7/2015 2:40:00,17.3,1007.3,63.0,0
4/7/2015 2:50:00,17.0,1007.3,64.0,0
4/7/2015 3:00:00,16.7,1007.3,66.0,0
4/7/2015 3:10:00,16.4,1007.3,67.0,0
4/7/2015 3:20:00,16.3,1007.7,68.0,0
4/7/2015 3:30:00,16.2,1007.7,69.0,0
4/7/2015 3:40:00,16.1,1007.7,70.0,0
4/7/2015 3:50:00,15.8,1007.7,70.0,0
4/7/2015 4:00:00,15.5,1007.7,71.0,0
4/7/2015 4:10:00,15.3,1007.7,72.0,0
4/7/2015 4:20:00,15.1,1007.7,73.0,0
4/7/2015 4:30:00,14.9,1007.7,74.0,0
4/7/2015 4:40:00,14.6,1007.7,75.0,0
4/7/2015 4:50:00,14.6,1007.7,75.0,0
4/7/2015 5:00:00,14.6,1007.3,75.0,0
4/7/2015 5:10:00,14.6,1007.3,75.0,0
4/7/2015 5:20:00,14.7,1007.3,76.0,0
4/7/2015 5:30:00,14.8,1007.3,77.0,0
4/7/2015 5:40:00,14.8,1007.7,77.0,0
4/7/2015 5:50:00,14.7,1007.7,78.0,0
4/7/2015 6:00:00,14.6,1008.0,78.0,0
4/7/2015 6:10:00,14.3,1008.0,79.0,0
4/7/2015 6:20:00,14.1,1008.4,81.0,0
4/7/2015 6:30:00,14.1,1008.4,81.0,0
4/7/2015 6:40:00,14.1,1008.7,81.0,0
4/7/2015 6:50:00,13.9,1008.7,82.0,0
4/7/2015 7:00:00,13.8,1008.7,82.0,0
4/7/2015 7:10:00,13.7,1008.7,82.0,0
4/7/2015 7:20:00,13.6,1009.0,82.0,0
4/7/2015 7:30:00,13.5,1009.4,83.0,0
4/7/2015 7:40:00,13.6,1009.4,83.0,0
4/7/2015 7:50:00,13.7,1009.4,82.0,0
4/7/2015 8:00:00,14.1,1009.7,81.0,0
4/7/2015 8:10:00,14.4,1009.7,79.0,0
4/7/2015 8:20:00,14.4,1009.7,79.0,0
4/7/2015 8:30:00,14.6,1009.7,79.0,0
4/7/2015 8:40:00,15.1,1010.0,77.0,0
4/7/2015 8:50:00,15.2,1009.7,77.0,0
4/7/2015 9:00:00,15.6,1010.0,76.0,0
4/7/2015 9:10:00,16.1,1010.4,74.0,0
4/7/2015 9:20:00,16.1,1010.0,74.0,0
4/7/2015 9:30:00,16.4,1010.4,73.0,0
4/7/2015 9:40:00,16.7,1010.4,72.0,0
4/7/2015 9:50:00,16.9,1010.4,70.0,0
4/7/2015 10:00:00,17.4,1010.4,68.0,0
4/7/2015 10:10:00,17.6,1010.4,67.0,0
4/7/2015 10:20:00,18.3,1010.0,66.0,0
4/7/2015 10:30:00,18.9,1010.4,63.0,0
4/7/2015 10:40:00,19.1,1010.4,62.0,0
4/7/2015 10:50:00,19.1,1010.0,62.0,0
4/7/2015 11:00:00,19.9,1010.0,59.0,0
4/7/2015 11:10:00,20.3,1010.0,57.0,0
4/7/2015 11:20:00,20.5,1010.0,55.0,0
4/7/2015 11:30:00,21.1,1009.7,52.0,0
4/7/2015 11:40:00,21.8,1010.0,49.0,0
4/7/2015 11:50:00,22.5,1009.7,46.0,0
